region,origin_display_name,destination_display_name,datetime,mean_travel_time_seconds
Boston,Zone1,Zone6,2024-01-01 00:00:00,911.7451068771101
Boston,Zone1,Zone7,2024-01-01 00:00:00,1084.1932428977625
Boston,Zone1,Zone8,2024-01-01 00:00:00,595.7142912357681
Boston,Zone1,Zone9,2024-01-01 00:00:00,1085.4843531506006
Boston,Zone1,Zone10,2024-01-01 00:00:00,631.9356299203127
Boston,Zone2,Zone6,2024-01-01 00:00:00,1015.2517897205814
Boston,Zone2,Zone7,2024-01-01 00:00:00,932.6634963856206
Boston,Zone2,Zone8,2024-01-01 00:00:00,951.945602919875
Boston,Zone2,Zone9,2024-01-01 00:00:00,1221.3347850150803
Boston,Zone2,Zone10,2024-01-01 00:00:00,860.6609759699692
Boston,Zone3,Zone6,2024-01-01 00:00:00,688.475427660504
Boston,Zone3,Zone7,2024-01-01 00:00:00,1217.2638126096274
Boston,Zone3,Zone8,2024-01-01 00:00:00,1206.947450650452
Boston,Zone3,Zone9,2024-01-01 00:00:00,842.3280719653109
Boston,Zone3,Zone10,2024-01-01 00:00:00,885.7234104708219
Boston,Zone4,Zone6,2024-01-01 00:00:00,813.4380663595559
Boston,Zone4,Zone7,2024-01-01 00:00:00,829.386122138198
Boston,Zone4,Zone8,2024-01-01 00:00:00,710.1697894483057
Boston,Zone4,Zone9,2024-01-01 00:00:00,1159.3075845554008
Boston,Zone4,Zone10,2024-01-01 00:00:00,917.1245311433169
Boston,Zone5,Zone6,2024-01-01 00:00:00,1082.591031314433
Boston,Zone5,Zone7,2024-01-01 00:00:00,570.5466108650569
Boston,Zone5,Zone8,2024-01-01 00:00:00,761.7939935738307
Boston,Zone5,Zone9,2024-01-01 00:00:00,1019.9614854676527
Boston,Zone5,Zone10,2024-01-01 00:00:00,704.0661873758809
Boston,Zone1,Zone6,2024-01-01 01:00:00,922.5962448323302
Boston,Zone1,Zone7,2024-01-01 01:00:00,612.2457709786853
Boston,Zone1,Zone8,2024-01-01 01:00:00,1178.5765729504963
Boston,Zone1,Zone9,2024-01-01 01:00:00,650.9127755294363
Boston,Zone1,Zone10,2024-01-01 01:00:00,918.4227513867289
Boston,Zone2,Zone6,2024-01-01 01:00:00,739.3177049958487
Boston,Zone2,Zone7,2024-01-01 01:00:00,771.9079636213993
Boston,Zone2,Zone8,2024-01-01 01:00:00,1174.2584614879388
Boston,Zone2,Zone9,2024-01-01 01:00:00,691.0343573576222
Boston,Zone2,Zone10,2024-01-01 01:00:00,1058.5299037311465
Boston,Zone3,Zone6,2024-01-01 01:00:00,470.810773429037
Boston,Zone3,Zone7,2024-01-01 01:00:00,916.8015274197087
Boston,Zone3,Zone8,2024-01-01 01:00:00,1116.4807867353054
Boston,Zone3,Zone9,2024-01-01 01:00:00,576.5703186498699
Boston,Zone3,Zone10,2024-01-01 01:00:00,988.8481033278301
Boston,Zone4,Zone6,2024-01-01 01:00:00,1135.9355622854002
