region,origin_display_name,destination_display_name,datetime,mean_travel_time_seconds
NYC,Zone1,Zone6,2024-01-01 00:00:00,971.07665087428
NYC,Zone1,Zone7,2024-01-01 00:00:00,1118.5704040295875
NYC,Zone1,Zone8,2024-01-01 00:00:00,891.2778183919153
NYC,Zone1,Zone9,2024-01-01 00:00:00,1086.7800774610955
NYC,Zone1,Zone10,2024-01-01 00:00:00,760.5853611822254
NYC,Zone2,Zone6,2024-01-01 00:00:00,1152.0274370056652
NYC,Zone2,Zone7,2024-01-01 00:00:00,1250.7378408201141
NYC,Zone2,Zone8,2024-01-01 00:00:00,704.0691141505927
NYC,Zone2,Zone9,2024-01-01 00:00:00,897.8722715525803
NYC,Zone2,Zone10,2024-01-01 00:00:00,833.9378433141082
NYC,Zone3,Zone6,2024-01-01 00:00:00,731.9103667188963
NYC,Zone3,Zone7,2024-01-01 00:00:00,919.5643752929938
NYC,Zone3,Zone8,2024-01-01 00:00:00,641.5919174232289
NYC,Zone3,Zone9,2024-01-01 00:00:00,1063.2706874659132
NYC,Zone3,Zone10,2024-01-01 00:00:00,608.4829036947904
NYC,Zone4,Zone6,2024-01-01 00:00:00,690.1566159248908
NYC,Zone4,Zone7,2024-01-01 00:00:00,988.112740816501
NYC,Zone4,Zone8,2024-01-01 00:00:00,952.7117257905314
NYC,Zone4,Zone9,2024-01-01 00:00:00,488.5455522077599
NYC,Zone4,Zone10,2024-01-01 00:00:00,823.8490823664185
NYC,Zone5,Zone6,2024-01-01 00:00:00,1192.1554130618272
NYC,Zone5,Zone7,2024-01-01 00:00:00,876.0136580514757
NYC,Zone5,Zone8,2024-01-01 00:00:00,547.3347080436421
NYC,Zone5,Zone9,2024-01-01 00:00:00,873.613996587394
NYC,Zone5,Zone10,2024-01-01 00:00:00,991.4143474093235
NYC,Zone1,Zone6,2024-01-01 01:00:00,906.3231724697815
NYC,Zone1,Zone7,2024-01-01 01:00:00,1128.0144566153615
NYC,Zone1,Zone8,2024-01-01 01:00:00,1122.534910097479
NYC,Zone1,Zone9,2024-01-01 01:00:00,930.3707802440973
NYC,Zone1,Zone10,2024-01-01 01:00:00,772.801055308211
NYC,Zone2,Zone6,2024-01-01 01:00:00,1097.4033180119716
NYC,Zone2,Zone7,2024-01-01 01:00:00,918.1636163661411
NYC,Zone2,Zone8,2024-01-01 01:00:00,583.5751470790963
NYC,Zone2,Zone9,2024-01-01 01:00:00,893.9275857150806
NYC,Zone2,Zone10,2024-01-01 01:00:00,1301.1336153204977
NYC,Zone3,Zone6,2024-01-01 01:00:00,951.1307500612851
NYC,Zone3,Zone7,2024-01-01 01:00:00,853.0656630645817
NYC,Zone3,Zone8,2024-01-01 01:00:00,855.3455569016959
NYC,Zone3,Zone9,2024-01-01 01:00:00,934.574012467521
NYC,Zone3,Zone10,2024-01-01 01:00:00,822.3291125920177
NYC,Zone4,Zone6,2024-01-01 01:00:00,1032.27036299774
NYC,Zone4,Zone7,2024-01-01 01:00:00,798.2394986913279
NYC,Zone4,Zone8,2024-01-01 01:00:00,791.0068343296325
NYC,Zone4,Zone9,2024-01-01 01:00:00,849.0597140907734
NYC,Zone4,Zone10,2024-01-01 01:00:00,687.5358783745169
NYC,Zone5,Zone6,2024-01-01 01:00:00,924.0054901426095
NYC,Zone5,Zone7,2024-01-01 01:00:00,1172.4691044236542
NYC,Zone5,Zone8,2024-01-01 01:00:00,832.3516259428222
NYC,Zone5,Zone9,2024-01-01 01:00:00,1131.5044148451361
NYC,Zone5,Zone10,2024-01-01 01:00:00,1139.0656942007288
NYC,Zone1,Zone6,2024-01-01 02:00:00,991.7851717118432
NYC,Zone1,Zone7,2024-01-01 02:00:00,793.4550649456105
NYC,Zone1,Zone8,2024-01-01 02:00:00,1020.237213315757
NYC,Zone1,Zone9,2024-01-01 02:00:00,1014.9711532417381
NYC,Zone1,Zone10,2024-01-01 02:00:00,593.7597430188465
NYC,Zone2,Zone6,2024-01-01 02:00:00,1002.2081189445214
NYC,Zone2,Zone7,2024-01-01 02:00:00,766.8766683407116
NYC,Zone2,Zone8,2024-01-01 02:00:00,644.8051679050918
NYC,Zone2,Zone9,2024-01-01 02:00:00,1167.0929576160113
NYC,Zone2,Zone10,2024-01-01 02:00:00,558.0785579434964
NYC,Zone3,Zone6,2024-01-01 02:00:00,1012.2396326427031
NYC,Zone3,Zone7,2024-01-01 02:00:00,1143.9814134341045
NYC,Zone3,Zone8,2024-01-01 02:00:00,716.113739225583
NYC,Zone3,Zone9,2024-01-01 02:00:00,574.7091563339652
NYC,Zone3,Zone10,2024-01-01 02:00:00,471.05511961036825
NYC,Zone4,Zone6,2024-01-01 02:00:00,1332.974101709547
NYC,Zone4,Zone7,2024-01-01 02:00:00,1001.4411824719938
NYC,Zone4,Zone8,2024-01-01 02:00:00,1028.652816607133
NYC,Zone4,Zone9,2024-01-01 02:00:00,884.0617136211118
NYC,Zone4,Zone10,2024-01-01 02:00:00,1013.126985273411
NYC,Zone5,Zone6,2024-01-01 02:00:00,1071.3812260550476
NYC,Zone5,Zone7,2024-01-01 02:00:00,754.653595833532
NYC,Zone5,Zone8,2024-01-01 02:00:00,743.512561267982
NYC,Zone5,Zone9,2024-01-01 02:00:00,815.9734074523877
NYC,Zone5,Zone10,2024-01-01 02:00:00,728.0051386362653
NYC,Zone1,Zone6,2024-01-01 03:00:00,794.1177318215463
NYC,Zone1,Zone7,2024-01-01 03:00:00,1108.5341031831504
NYC,Zone1,Zone8,2024-01-01 03:00:00,916.164340265977
NYC,Zone1,Zone9,2024-01-01 03:00:00,1161.6086043768264
NYC,Zone1,Zone10,2024-01-01 03:00:00,1074.944347188039
NYC,Zone2,Zone6,2024-01-01 03:00:00,824.9154452478333
NYC,Zone2,Zone7,2024-01-01 03:00:00,999.251817123619
NYC,Zone2,Zone8,2024-01-01 03:00:00,918.2698371608675
NYC,Zone2,Zone9,2024-01-01 03:00:00,815.9823450803893
NYC,Zone2,Zone10,2024-01-01 03:00:00,1217.903295010189
NYC,Zone3,Zone6,2024-01-01 03:00:00,728.1588414491102
NYC,Zone3,Zone7,2024-01-01 03:00:00,935.9661399938274
NYC,Zone3,Zone8,2024-01-01 03:00:00,785.9516283009651
NYC,Zone3,Zone9,2024-01-01 03:00:00,970.4522757957768
NYC,Zone3,Zone10,2024-01-01 03:00:00,907.08393225071
