region,origin_display_name,destination_display_name,datetime,mean_travel_time_seconds
SF,Zone1,Zone6,2024-01-01 00:00:00,540.1469192017566
SF,Zone1,Zone7,2024-01-01 00:00:00,1033.8738851950475
SF,Zone1,Zone8,2024-01-01 00:00:00,452.2109818378275
SF,Zone1,Zone9,2024-01-01 00:00:00,636.2893662037253
SF,Zone1,Zone10,2024-01-01 00:00:00,846.1651650922782
SF,Zone2,Zone6,2024-01-01 00:00:00,1124.5770015296698
SF,Zone2,Zone7,2024-01-01 00:00:00,850.0995890411449
SF,Zone2,Zone8,2024-01-01 00:00:00,754.095473841527
SF,Zone2,Zone9,2024-01-01 00:00:00,852.7395405598288
SF,Zone2,Zone10,2024-01-01 00:00:00,990.7096289423562
SF,Zone3,Zone6,2024-01-01 00:00:00,803.4032845121009
SF,Zone3,Zone7,2024-01-01 00:00:00,850.0161225858452
SF,Zone3,Zone8,2024-01-01 00:00:00,895.3652495038915
SF,Zone3,Zone9,2024-01-01 00:00:00,877.3936608276695
SF,Zone3,Zone10,2024-01-01 00:00:00,730.4827852552374
SF,Zone4,Zone6,2024-01-01 00:00:00,661.5274132772046
SF,Zone4,Zone7,2024-01-01 00:00:00,736.6259409979281
SF,Zone4,Zone8,2024-01-01 00:00:00,1003.6397606074731
SF,Zone4,Zone9,2024-01-01 00:00:00,686.6759095769987
SF,Zone4,Zone10,2024-01-01 00:00:00,631.907385090466
SF,Zone5,Zone6,2024-01-01 00:00:00,788.667038650645
SF,Zone5,Zone7,2024-01-01 00:00:00,882.3550322599096
SF,Zone5,Zone8,2024-01-01 00:00:00,798.0783374259762
SF,Zone5,Zone9,2024-01-01 00:00:00,1014.114079958035
SF,Zone5,Zone10,2024-01-01 00:00:00,935.3446842848347
SF,Zone1,Zone6,2024-01-01 01:00:00,900.552878246255
SF,Zone1,Zone7,2024-01-01 01:00:00,806.9094814095375
SF,Zone1,Zone8,2024-01-01 01:00:00,1247.5794469842112
SF,Zone1,Zone9,2024-01-01 01:00:00,864.020565890776
SF,Zone1,Zone10,2024-01-01 01:00:00,724.9585007284653
SF,Zone2,Zone6,2024-01-01 01:00:00,568.3620494106885
SF,Zone2,Zone7,2024-01-01 01:00:00,741.7158283341553
SF,Zone2,Zone8,2024-01-01 01:00:00,781.3771171882681
SF,Zone2,Zone9,2024-01-01 01:00:00,1146.1645871016358
SF,Zone2,Zone10,2024-01-01 01:00:00,948.2742665961487
SF,Zone3,Zone6,2024-01-01 01:00:00,904.3079918208756
SF,Zone3,Zone7,2024-01-01 01:00:00,906.7249342109513
SF,Zone3,Zone8,2024-01-01 01:00:00,871.297177334837
SF,Zone3,Zone9,2024-01-01 01:00:00,807.5885516032017
SF,Zone3,Zone10,2024-01-01 01:00:00,1154.4332794144211
SF,Zone4,Zone6,2024-01-01 01:00:00,894.6900098396338
SF,Zone4,Zone7,2024-01-01 01:00:00,666.5103424632975
SF,Zone4,Zone8,2024-01-01 01:00:00,906.9546133622234
SF,Zone4,Zone9,2024-01-01 01:00:00,785.8909815191694
SF,Zone4,Zone10,2024-01-01 01:00:00,876.3329382406291
SF,Zone5,Zone6,2024-01-01 01:00:00,852.4468675283301
SF,Zone5,Zone7,2024-01-01 01:00:00,962.9641151768434
SF,Zone5,Zone8,2024-01-01 01:00:00,828.3451187938916
SF,Zone5,Zone9,2024-01-01 01:00:00,857.9710799617148
SF,Zone5,Zone10,2024-01-01 01:00:00,1329.266052455036
SF,Zone1,Zone6,2024-01-01 02:00:00,1044.719633981977
SF,Zone1,Zone7,2024-01-01 02:00:00,708.0906662060061
SF,Zone1,Zone8,2024-01-01 02:00:00,929.2886528913954
SF,Zone1,Zone9,2024-01-01 02:00:00,803.8924951735859
SF,Zone1,Zone10,2024-01-01 02:00:00,1017.4843501500078
SF,Zone2,Zone6,2024-01-01 02:00:00,505.3651209221581
SF,Zone2,Zone7,2024-01-01 02:00:00,741.4854443570568
SF,Zone2,Zone8,2024-01-01 02:00:00,1221.0107863997755
SF,Zone2,Zone9,2024-01-01 02:00:00,856.8573411791075
SF,Zone2,Zone10,2024-01-01 02:00:00,1189.8047726045618
SF,Zone3,Zone6,2024-01-01 02:00:00,858.7971331925735
SF,Zone3,Zone7,2024-01-01 02:00:00,816.3407409513225
SF,Zone3,Zone8,2024-01-01 02:00:00,798.0669891053068
SF,Zone3,Zone9,2024-01-01 02:00:00,621.3148169798953
SF,Zone3,Zone10,2024-01-01 02:00:00,1033.3407412487893
SF,Zone4,Zone6,2024-01-01 02:00:00,921.4223930798636
SF,Zone4,Zone7,2024-01-01 02:00:00,1106.35619392047
SF,Zone4,Zone8,2024-01-01 02:00:00,965.7036738032776
SF,Zone4,Zone9,2024-01-01 02:00:00,973.4870422600758
SF,Zone4,Zone10,2024-01-01 02:00:00,825.5741011086186
SF,Zone5,Zone6,2024-01-01 02:00:00,1117.3492969811591
SF,Zone5,Zone7,2024-01-01 02:00:00,1178.8360439048572
SF,Zone5,Zone8,2024-01-01 02:00:00,735.3533781534261
SF,Zone5,Zone9,2024-01-01 02:00:00,777.8237020388318
SF,Zone5,Zone10,2024-01-01 02:00:00,531.6501554328448
SF,Zone1,Zone6,2024-01-01 03:00:00,1235.6122657131534
SF,Zone1,Zone7,2024-01-01 03:00:00,1045.6503425595865
SF,Zone1,Zone8,2024-01-01 03:00:00,995.8948345356157
SF,Zone1,Zone9,2024-01-01 03:00:00,910.5449121515761
SF,Zone1,Zone10,2024-01-01 03:00:00,1023.3399931135561
SF,Zone2,Zone6,2024-01-01 03:00:00,742.3441190091148
SF,Zone2,Zone7,2024-01-01 03:00:00,786.7656181195765
SF,Zone2,Zone8,2024-01-01 03:00:00,850.8473063068212
SF,Zone2,Zone9,2024-01-01 03:00:00,1197.8678104973071
SF,Zone2,Zone10,2024-01-01 03:00:00,1054.5187444971878
SF,Zone3,Zone6,2024-01-01 03:00:00,1359.154734851259
SF,Zone3,Zone7,2024-01-01 03:00:00,917.4932053546406
SF,Zone3,Zone8,2024-01-01 03:00:00,1063.920402569701
SF,Zone3,Zone9,2024-01-01 03:00:00,687.4821892630976
SF,Zone3,Zone10,2024-01-01 03:00:00,758.1759619175194
SF,Zone4,Zone6,2024-01-01 03:00:00,1230.081487451647
SF,Zone4,Zone7,2024-01-01 03:00:00,885.058250116761
SF,Zone4,Zone8,2024-01-01 03:00:00,983.099812316474
SF,Zone4,Zone9,2024-01-01 03:00:00,1457.5951072350229
SF,Zone4,Zone10,2024-01-01 03:00:00,684.5541010138081
SF,Zone5,Zone6,2024-01-01 03:00:00,543.4453175825716
SF,Zone5,Zone7,2024-01-01 03:00:00,767.4660911032894
SF,Zone5,Zone8,2024-01-01 03:00:00,617.3931433853247
SF,Zone5,Zone9,2024-01-01 03:00:00,737.0991316624486
SF,Zone5,Zone10,2024-01-01 03:00:00,580.9681573697349
SF,Zone1,Zone6,2024-01-01 04:00:00,851.1739027447841
SF,Zone1,Zone7,2024-01-01 04:00:00,916.9759632937113
SF,Zone1,Zone8,2024-01-01 04:00:00,972.9939104101435
SF,Zone1,Zone9,2024-01-01 04:00:00,950.169905060908
SF,Zone1,Zone10,2024-01-01 04:00:00,688.4827573237375
SF,Zone2,Zone6,2024-01-01 04:00:00,1226.113499291439
SF,Zone2,Zone7,2024-01-01 04:00:00,530.4002686867473
SF,Zone2,Zone8,2024-01-01 04:00:00,1033.0756670274172
SF,Zone2,Zone9,2024-01-01 04:00:00,753.0792125766585
SF,Zone2,Zone10,2024-01-01 04:00:00,725.4702939135847
SF,Zone3,Zone6,2024-01-01 04:00:00,1107.6171801467656
SF,Zone3,Zone7,2024-01-01 04:00:00,817.1745025522878
SF,Zone3,Zone8,2024-01-01 04:00:00,587.833536306485
SF,Zone3,Zone9,2024-01-01 04:00:00,1362.7440431678392
SF,Zone3,Zone10,2024-01-01 04:00:00,1470.7440530321574
SF,Zone4,Zone6,2024-01-01 04:00:00,1153.8598885749134
SF,Zone4,Zone7,2024-01-01 04:00:00,744.6948973775623
SF,Zone4,Zone8,2024-01-01 04:00:00,1080.4216501257504
SF,Zone4,Zone9,2024-01-01 04:00:00,986.2925178299155
SF,Zone4,Zone10,2024-01-01 04:00:00,847.7164301978453
SF,Zone5,Zone6,2024-01-01 04:00:00,1137.4936658050917
SF,Zone5,Zone7,2024-01-01 04:00:00,611.440826525299
SF,Zone5,Zone8,2024-01-01 04:00:00,1251.8045324850227
SF,Zone5,Zone9,2024-01-01 04:00:00,1047.1626665201493
SF,Zone5,Zone10,2024-01-01 04:00:00,790.2373640505544
SF,Zone1,Zone6,2024-01-01 05:00:00,1033.1494659966684
SF,Zone1,Zone7,2024-01-01 05:00:00,637.8481910301065
SF,Zone1,Zone8,2024-01-01 05:00:00,1015.6443110017029
SF,Zone1,Zone9,2024-01-01 05:00:00,1114.9599223485739
SF,Zone1,Zone10,2024-01-01 05:00:00,1049.6830710104762
SF,Zone2,Zone6,2024-01-01 05:00:00,1213.6691152224043
SF,Zone2,Zone7,2024-01-01 05:00:00,1000.2582206884304
SF,Zone2,Zone8,2024-01-01 05:00:00,759.2806516246233
SF,Zone2,Zone9,2024-01-01 05:00:00,1061.8034637459264
SF,Zone2,Zone10,2024-01-01 05:00:00,978.6585467939242
SF,Zone3,Zone6,2024-01-01 05:00:00,1375.405465279654
SF,Zone3,Zone7,2024-01-01 05:00:00,660.5613990101295
SF,Zone3,Zone8,2024-01-01 05:00:00,868.310485303894
SF,Zone3,Zone9,2024-01-01 05:00:00,975.0320148124329
SF,Zone3,Zone10,2024-01-01 05:00:00,1158.9301548264334
SF,Zone4,Zone6,2024-01-01 05:00:00,1088.710429646178
SF,Zone4,Zone7,2024-01-01 05:00:00,1077.9743186578896
SF,Zone4,Zone8,2024-01-01 05:00:00,1093.7579920900798
SF,Zone4,Zone9,2024-01-01 05:00:00,1309.4438164674066
SF,Zone4,Zone10,2024-01-01 05:00:00,752.5098036026383
SF,Zone5,Zone6,2024-01-01 05:00:00,638.282404681193
SF,Zone5,Zone7,2024-01-01 05:00:00,826.4508349381548
SF,Zone5,Zone8,2024-01-01 05:00:00,888.2641031498515
SF,Zone5,Zone9,2024-01-01 05:00:00,1210.2333634476993
SF,Zone5,Zone10,2024-01-01 05:00:00,836.2784071820366
SF,Zone1,Zone6,2024-01-01 06:00:00,565.2590683111557
SF,Zone1,Zone7,2024-01-01 06:00:00,1121.524986934406
SF,Zone1,Zone8,2024-01-01 06:00:00,926.3049369622645
SF,Zone1,Zone9,2024-01-01 06:00:00,681.268385603738
SF,Zone1,Zone10,2024-01-01 06:00:00,612.9058714706367
SF,Zone2,Zone6,2024-01-01 06:00:00,734.8476443488837
SF,Zone2,Zone7,2024-01-01 06:00:00,873.8329309807145
SF,Zone2,Zone8,2024-01-01 06:00:00,1081.600056572191
SF,Zone2,Zone9,2024-01-01 06:00:00,547.1607799139374
SF,Zone2,Zone10,2024-01-01 06:00:00,1180.0097612263276
